Sunday,Oct 08,6:30 PM,NBA Preseason - Sacramento Kings at Los Angeles Lakers
Tuesday,Oct 10,7:30 PM,NBA Preseason - Utah Jazz at Los Angeles Lakers
Friday,Oct 13,7:30 PM,NBA Preseason - Los Angeles Lakers at Los Angeles Clippers
Wednesday,Oct 18,12:55 PM,2017-2018 Los Angeles Lakers Season Tickets (Includes Tickets to All Regular Season Home Games)
Thursday,Oct 19,7:30 PM,Los Angeles Clippers at Los Angeles Lakers
Friday,Oct 20,7:00 PM,Los Angeles Lakers at Phoenix Suns
Sunday,Oct 22,6:30 PM,New Orleans Pelicans at Los Angeles Lakers
Wednesday,Oct 25,7:30 PM,Washington Wizards at Los Angeles Lakers
Friday,Oct 27,7:30 PM,Toronto Raptors at Los Angeles Lakers
Saturday,Oct 28,7:00 PM,Los Angeles Lakers at Utah Jazz
Tuesday,Oct 31,7:30 PM,Detroit Pistons at Los Angeles Lakers
Thursday,Nov 02,7:30 PM,Los Angeles Lakers at Portland Trail Blazers
Friday,Nov 03,7:30 PM,Brooklyn Nets at Los Angeles Lakers
Sunday,Nov 05,6:30 PM,Memphis Grizzlies at Los Angeles Lakers
Wednesday,Nov 08,8:00 PM,Los Angeles Lakers at Boston Celtics
Thursday,Nov 09,7:00 PM,Los Angeles Lakers at Washington Wizards
Saturday,Nov 11,7:30 PM,Los Angeles Lakers at Milwaukee Bucks
Monday,Nov 13,7:00 PM,Los Angeles Lakers at Phoenix Suns
Wednesday,Nov 15,7:30 PM,Philadelphia 76ers at Los Angeles Lakers
Friday,Nov 17,7:30 PM,Phoenix Suns at Los Angeles Lakers
Sunday,Nov 19,6:30 PM,Denver Nuggets at Los Angeles Lakers
Tuesday,Nov 21,7:30 PM,Chicago Bulls at Los Angeles Lakers
Wednesday,Nov 22,7:30 PM,Los Angeles Lakers at Sacramento Kings
Monday,Nov 27,7:30 PM,Los Angeles Lakers at Los Angeles Clippers
Wednesday,Nov 29,7:30 PM,Golden State Warriors at Los Angeles Lakers
Saturday,Dec 02,7:00 PM,Los Angeles Lakers at Denver Nuggets
Sunday,Dec 03,6:30 PM,Houston Rockets at Los Angeles Lakers
Thursday,Dec 07,8:00 PM,Los Angeles Lakers at Philadelphia 76ers
Saturday,Dec 09,7:00 PM,Los Angeles Lakers at Charlotte Hornets
Tuesday,Dec 12,7:00 PM,Los Angeles Lakers at New York Knicks
Thursday,Dec 14,8:00 PM,Los Angeles Lakers at Cleveland Cavaliers
Monday,Dec 18,7:30 PM,Golden State Warriors at Los Angeles Lakers (Kobe Bryant Jersey Retirement Ceremony)
Wednesday,Dec 20,7:00 PM,Los Angeles Lakers at Houston Rockets
Friday,Dec 22,7:30 PM,Los Angeles Lakers at Golden State Warriors
Saturday,Dec 23,6:30 PM,Portland Trail Blazers at Los Angeles Lakers
Monday,Dec 25,7:30 PM,Minnesota Timberwolves at Los Angeles Lakers
Wednesday,Dec 27,7:30 PM,Memphis Grizzlies at Los Angeles Lakers
Friday,Dec 29,7:30 PM,Los Angeles Clippers at Los Angeles Lakers
Sunday,Dec 31,6:00 PM,Los Angeles Lakers at Houston Rockets
Monday,"Jan 01, 2018",7:00 PM,Los Angeles Lakers at Minnesota Timberwolves
Wednesday,"Jan 03, 2018",7:30 PM,Oklahoma City Thunder at Los Angeles Lakers
Friday,"Jan 05, 2018",7:30 PM,Charlotte Hornets at Los Angeles Lakers
Sunday,"Jan 07, 2018",6:30 PM,Atlanta Hawks at Los Angeles Lakers
Tuesday,"Jan 09, 2018",7:30 PM,Sacramento Kings at Los Angeles Lakers
Thursday,"Jan 11, 2018",7:30 PM,San Antonio Spurs at Los Angeles Lakers
Saturday,"Jan 13, 2018",1:00 PM,Los Angeles Lakers at Dallas Mavericks
Monday,"Jan 15, 2018",4:30 PM,Los Angeles Lakers at Memphis Grizzlies
Wednesday,"Jan 17, 2018",7:00 PM,Los Angeles Lakers at Oklahoma City Thunder
Friday,"Jan 19, 2018",7:30 PM,Indiana Pacers at Los Angeles Lakers
Sunday,"Jan 21, 2018",12:30 PM,New York Knicks at Los Angeles Lakers
Tuesday,"Jan 23, 2018",7:30 PM,Boston Celtics at Los Angeles Lakers
Friday,"Jan 26, 2018",7:00 PM,Los Angeles Lakers at Chicago Bulls
Sunday,"Jan 28, 2018",6:00 PM,Los Angeles Lakers at Toronto Raptors
Wednesday,"Jan 31, 2018",7:00 PM,Los Angeles Lakers at Orlando Magic
Friday,"Feb 02, 2018",7:30 PM,Los Angeles Lakers at Brooklyn Nets
Sunday,"Feb 04, 2018",1:00 PM,Los Angeles Lakers at Oklahoma City Thunder
Tuesday,"Feb 06, 2018",7:30 PM,Phoenix Suns at Los Angeles Lakers
Thursday,"Feb 08, 2018",7:30 PM,Oklahoma City Thunder at Los Angeles Lakers
Saturday,"Feb 10, 2018",7:30 PM,Los Angeles Lakers at Dallas Mavericks
Wednesday,"Feb 14, 2018",7:00 PM,Los Angeles Lakers at New Orleans Pelicans
Thursday,"Feb 15, 2018",8:00 PM,Los Angeles Lakers at Minnesota Timberwolves
Friday,"Feb 23, 2018",7:30 PM,Dallas Mavericks at Los Angeles Lakers
Saturday,"Feb 24, 2018",7:00 PM,Los Angeles Lakers at Sacramento Kings
Monday,"Feb 26, 2018",7:30 PM,Los Angeles Lakers at Atlanta Hawks
Thursday,"Mar 01, 2018",7:30 PM,Los Angeles Lakers at Miami Heat
Saturday,"Mar 03, 2018",8:00 PM,Los Angeles Lakers at San Antonio Spurs
Monday,"Mar 05, 2018",7:30 PM,Portland Trail Blazers at Los Angeles Lakers
Wednesday,"Mar 07, 2018",7:30 PM,Orlando Magic at Los Angeles Lakers
Friday,"Mar 09, 2018",7:00 PM,Los Angeles Lakers at Denver Nuggets
Sunday,"Mar 11, 2018",6:00 PM,Cleveland Cavaliers at Los Angeles Lakers
Tuesday,"Mar 13, 2018",7:30 PM,Denver Nuggets at Los Angeles Lakers
Wednesday,"Mar 14, 2018",7:30 PM,Los Angeles Lakers at Golden State Warriors (Splash Towel Giveaway)
Friday,"Mar 16, 2018",7:30 PM,Miami Heat at Los Angeles Lakers
Monday,"Mar 19, 2018",7:00 PM,Los Angeles Lakers at Indiana Pacers
Thursday,"Mar 22, 2018",7:00 PM,Los Angeles Lakers at New Orleans Pelicans
Saturday,"Mar 24, 2018",7:00 PM,Los Angeles Lakers at Memphis Grizzlies
Monday,"Mar 26, 2018",7:00 PM,Los Angeles Lakers at Detroit Pistons
Wednesday,"Mar 28, 2018",7:30 PM,Dallas Mavericks at Los Angeles Lakers
Friday,"Mar 30, 2018",7:30 PM,Milwaukee Bucks at Los Angeles Lakers
Sunday,"Apr 01, 2018",6:30 PM,Sacramento Kings at Los Angeles Lakers
Tuesday,"Apr 03, 2018",7:00 PM,Los Angeles Lakers at Utah Jazz
Wednesday,"Apr 04, 2018",7:30 PM,San Antonio Spurs at Los Angeles Lakers
Friday,"Apr 06, 2018",7:30 PM,Minnesota Timberwolves at Los Angeles Lakers
Sunday,"Apr 08, 2018",3:00 PM,Utah Jazz at Los Angeles Lakers
Tuesday,"Apr 10, 2018",7:30 PM,Houston Rockets at Los Angeles Lakers
Wednesday,"Apr 11, 2018",7:30 PM,Los Angeles Lakers at Los Angeles Clippers
